symbol,name,profit,win,loss,trades,winRate
6526,ソシオネクスト,0,0,0,0,0.000
6920,レーザーテック,0,0,0,0,0.000
6857,アドバンテスト,0,0,0,0,0.000
9107,川崎汽船,0,0,0,0,0.000
8306,三菱UFJ FG,0,0,0,0,0.000
9984,ソフトバンクグループ,0,0,0,0,0.000
8035,東京エレクトロン,0,0,0,0,0.000
7011,三菱重工業,0,0,0,0,0.000
4568,第一三共,0,0,0,0,0.000
5803,フジクラ,0,0,0,0,0.000
5016,JX金属,0,0,0,0,0.000
8316,三井住友FG,0,0,0,0,0.000
6758,ソニーグループ,0,0,0,0,0.000
6723,ルネサスエレクトロニクス,0,0,0,0,0.000
7203,トヨタ自動車,0,0,0,0,0.000
285A,キオクシアHD,116800,37,41,78,0.474
3436,SUMCO,124200,104,123,227,0.458
3778,さくらインターネット,222400,77,94,171,0.450
6981,村田製作所,358700,123,115,238,0.517
6976,太陽誘電,361200,126,99,225,0.560
